DEBUG [2020-03-19 16:35:32] |check value------  | min_temp |
DEBUG [2020-03-19 16:35:32] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 16:35:33] |MONTH 1| Jan |
DEBUG [2020-03-19 16:35:33] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 16:35:33] Rdata exists
DEBUG [2020-03-19 16:35:33] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 16:35:33] |MONTH| Jan |
DEBUG [2020-03-19 16:35:33] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 16:35:34] |check city df ------  | 0 |
DEBUG [2020-03-19 16:35:37] |check city df ------  | 1 |
DEBUG [2020-03-19 16:35:37] |PROV_DF | 11.566348530472 ||PROV_DF | -0.013376215073371 |
DEBUG [2020-03-19 16:39:32] |TEMP_VAL |  |
DEBUG [2020-03-19 16:39:32] |MONTH|  |
DEBUG [2020-03-19 16:39:32] |YEAR_TO_START|  |
DEBUG [2020-03-19 16:39:32] |check city df ------  | 0 |
DEBUG [2020-03-19 16:39:33] |check value------  | min_temp |
DEBUG [2020-03-19 16:39:33] |TEMP_VAL 1| min_temp |
