Municipality,Municipal status ,Geographic area 
"<a title=""Lambton, County of"" href=""http://www.lambtononline.ca/"">Lambton, County of</a>",Upper Tier,Lambton
"<a title=""Lambton Shores, Municipality of"" href=""http://www.lambtonshores.ca/"">Lambton Shores, Municipality of</a>",Lower Tier,Lambton
"<a title=""Lanark, County of"" href=""http://www.county.lanark.on.ca/"">Lanark, County of</a>",Upper Tier,Lanark
"<a title=""Lanark Highlands, Township of"" href=""http://www.lanarkhighlands.ca/"">Lanark Highlands, Township of</a>",Lower Tier,Lanark
"<a title=""Larder Lake, Township of"" href=""http://www.larderlake.net/"">Larder Lake, Township of</a>",Single Tier,Timiskaming
"<a title=""Latchford, Town of"" href=""http://www.latchford.ca/"">Latchford, Town of</a>",Single Tier,Timiskaming
"<a title=""Laurentian Hills, Town of"" href=""http://www.laurentianhills.ca/"">Laurentian Hills, Town of</a>",Lower Tier,Renfrew
"<a title=""Laurentian Valley, Township of"" href=""http://www.laurentianvalleytwsp.on.ca/"">Laurentian Valley, Township of</a>",Lower Tier,Renfrew
"<a title=""Leamington, Municipality of"" href=""http://www.leamington.ca/"">Leamington, Municipality of</a>",Lower Tier,Essex
"<a title=""Leeds and Grenville, United Counties of"" href=""http://www.leedsandgrenville.ca/"">Leeds and Grenville, United Counties of</a>",Upper Tier,Leeds and Grenville
"<a title=""Leeds and the Thousand Islands, Township of"" href=""http://www.townshipleeds.on.ca/"">Leeds and the Thousand Islands, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Lennox and Addington, County of"" href=""http://www.lennox-addington.on.ca/"">Lennox and Addington, County of</a>",Upper Tier,Lennox and Addington
"<a title=""Limerick, Township of"" href=""http://www.township.limerick.on.ca/"">Limerick, Township of</a>",Lower Tier,Hastings
"<a title=""Lincoln, Town of"" href=""http://www.lincoln.ca/"">Lincoln, Town of</a>",Lower Tier,Niagara
